ortho	phon	lemme	cgram	genre	nombre	freqlemfilms2	freqlemlivres	freqfilms2	freqlivres	infover	nbhomogr	nbhomoph	islem	nblettres	nbphons	cvcv	p_cvcv	voisorth	voisphon	puorth	puphon	syll	nbsyll	cv-cv	orthrenv	phonrenv	orthosyll	cgramortho	deflem	defobs	old20	pld20	morphoder	nbmorph
académies	akademi	académie	NOM	f	p	10.03	9.46	0.12	1.15		1	2	0	9	7	VCVCVCVVC	VCVCVCV	0	0	0	7	a-ka-de-mi	4	V-CV-CV-CV	seimédaca	imedaka	a-ca-dé-mies	NOM	100	22	3.1	2.75	académie	1
académique	akademik	académique	ADJ		s	1.41	1.15	0.87	0.61		1	2	1	10	8	VCVCVCVCVV	VCVCVCVC	0	0	10	8	a-ka-de-mik	4	V-CV-CV-CVC	euqimédaca	kimedaka	a-ca-dé-mi-que	ADJ	96	26	3.2	3.1	académie-ique	2
académiquement	akademik°m@	académiquement	ADV			0.01	0.14	0.01	0.14		1	1	1	14	11	VCVCVCVCVVCVCC	VCVCVCVCVCV	0	0	11	9	a-ka-de-mi-k°-m@	6	V-CV-CV-CV-CV-CV	tnemeuqimédaca	@m°kimedaka	a-ca-dé-mi-que-ment	ADV			4.35		académiquement	1
académiques	akademik	académique	ADJ		p	1.41	1.15	0.54	0.54		1	2	0	11	8	VCVCVCVCVVC	VCVCVCVC	0	0	0	8	a-ka-de-mik	4	V-CV-CV-CVC	seuqimédaca	kimedaka	a-ca-dé-mi-ques	ADJ	96	26	3.3	3.1	académie-ique	2
académisme	akademizm	académisme	NOM	m	s	0.00	0.27	0.00	0.27		1	1	1	10	9	VCVCVCVCCV	VCVCVCVCC	0	1	9	8	a-ka-de-mizm	4	V-CV-CV-CVCC	emsimédaca	mzimedaka	a-ca-dé-mis-me	NOM	64	17	3.5	3.4	académisme	1
académisé	akademize	académiser	VER	m	s	0.00	0.07	0.00	0.07	par:pas;	1	1	0	9	9	VCVCVCVCV	VCVCVCVCV	0	1	0	0	a-ka-de-mi-ze	5	V-CV-CV-CV-CV	ésimédaca	ezimedaka	a-ca-dé-mi-sé	VER			3.6	3.45	académiser	1
acagnardai	akaNaRdE	acagnarder	VER			0.00	0.74	0.00	0.07	ind:pas:1s;	1	2	0	10	8	VCVCCVCCVV	VCVCVCCV	0	1	0	0	a-ka-NaR-dE	4	V-CV-CVC-CV	iadrangaca	EdRaNaka	a-ca-gnar-dai	VER	3	27	3.4	2.65	acagnarder	1
acagnardait	akaNaRdE	acagnarder	VER			0.00	0.74	0.00	0.14	ind:imp:3s;	1	2	0	11	8	VCVCCVCCVVC	VCVCVCCV	0	1	0	0	a-ka-NaR-dE	4	V-CV-CVC-CV	tiadrangaca	EdRaNaka	a-ca-gnar-dait	VER	3	27	3.5	2.65	acagnarder	1
acagnarder	akaNaRde	acagnarder	VER			0.00	0.74	0.00	0.14	inf;	1	3	1	10	8	VCVCCVCCVC	VCVCVCCV	0	1	4	4	a-ka-NaR-de	4	V-CV-CVC-CV	redrangaca	edRaNaka	a-ca-gnar-der	VER	3	27	3.2	2.7	acagnarder	1
acagnardé	akaNaRde	acagnarder	VER	m	s	0.00	0.74	0.00	0.34	par:pas;	1	3	0	9	8	VCVCCVCCV	VCVCVCCV	0	1	0	4	a-ka-NaR-de	4	V-CV-CVC-CV	édrangaca	edRaNaka	a-ca-gnar-dé	VER	3	27	2.8	2.7	acagnarder	1
acagnardée	akaNaRde	acagnarder	VER	f	s	0.00	0.74	0.00	0.07	par:pas;	1	3	0	10	8	VCVCCVCCVV	VCVCVCCV	0	1	0	4	a-ka-NaR-de	4	V-CV-CVC-CV	eédrangaca	edRaNaka	a-ca-gnar-dée	VER	3	27	3.2	2.7	acagnarder	1
acajou	akaZu	acajou	ADJ			0.17	1.62	0.17	1.62		2	3	1	6	5	VCVCVV	VCVCV	0	0	4	4	a-ka-Zu	3	V-CV-CV	uojaca	uZaka	a-ca-jou	ADJ,NOM	100	22	2.55	1.95	acajou	1
acajou	akaZu	acajou	NOM	m	s	0.52	5.95	0.52	5.81		2	3	1	6	5	VCVCVV	VCVCV	0	0	4	4	a-ka-Zu	3	V-CV-CV	uojaca	uZaka	a-ca-jou	ADJ,NOM	100	21	2.55	1.95	acajou	1
acajous	akaZu	acajou	NOM	m	p	0.52	5.95	0.00	0.14		1	3	0	7	5	VCVCVVC	VCVCV	0	0	0	4	a-ka-Zu	3	V-CV-CV	suojaca	uZaka	a-ca-jous	NOM	100	21	2.7	1.95	acajou	1
acanthe	ak@t	acanthe	NOM	f	s	0.04	0.61	0.04	0.27		1	2	1	7	4	VCVCCCV	VCVC	0	7	4	3	a-k@t	2	V-CVC	ehtnaca	t@ka	a-can-the	NOM	25	20	2.6	1.5	acanthe	1
acanthes	ak@t	acanthe	NOM	f	p	0.04	0.61	0.00	0.34		1	2	0	8	4	VCVCCCVC	VCVC	0	7	0	3	a-k@t	2	V-CVC	sehtnaca	t@ka	a-can-thes	NOM	25	20	2.75	1.5	acanthe	1
acariens	akaRj5	acarien	NOM	m	p	0.07	0.07	0.07	0.07		1	1	0	8	6	VCVCVVCC	VCVCYV	1	1	0	0	a-ka-Rj5	3	V-CV-CYV	sneiraca	5jRaka	a-ca-riens	NOM			2.4	1.9	acarien	1
acariâtre	akaRjatR	acariâtre	ADJ		s	0.14	1.55	0.13	1.22		1	2	1	9	8	VCVCVVCCV	VCVCYVCC	0	0	6	4	a-ka-RjatR	3	V-CV-CYVCC	ertâiraca	RtajRaka	a-ca-riâ-tre	ADJ	92	14	3.65	2.95	acariâtre	1
acariâtres	akaRjatR	acariâtre	ADJ	f	p	0.14	1.55	0.01	0.34		1	2	0	10	8	VCVCVVCCVC	VCVCYVCC	0	0	0	4	a-ka-RjatR	3	V-CV-CYVCC	sertâiraca	RtajRaka	a-ca-riâ-tres	ADJ	92	14	3.8	2.95	acariâtre	1
accabla	akabla	accabler	VER			5.55	21.28	0.14	0.95	ind:pas:3s;	1	2	0	7	6	VCCVCCV	VCVCCV	2	4	0	0	a-ka-bla	3	V-CV-CCV	albacca	albaka	ac-ca-bla	VER	95	20	2.15	1.7	accabler	1
accablai	akablE	accabler	VER			5.55	21.28	0.00	0.07	ind:pas:1s;	1	4	0	8	6	VCCVCCVV	VCVCCV	0	4	0	0	a-ka-blE	3	V-CV-CCV	ialbacca	Elbaka	ac-ca-blai	VER	95	20	2.25	1.65	accabler	1
accablaient	akablE	accabler	VER			5.55	21.28	0.03	1.42	ind:imp:3p;	1	4	0	11	6	VCCVCCVVVCC	VCVCCV	0	4	0	0	a-ka-blE	3	V-CV-CCV	tneialbacca	Elbaka	ac-ca-blaient	VER	95	20	2.6	1.65	accabler	1
accablais	akablE	accabler	VER			5.55	21.28	0.00	0.27	ind:imp:1s;	1	4	0	9	6	VCCVCCVVC	VCVCCV	1	4	0	0	a-ka-blE	3	V-CV-CCV	sialbacca	Elbaka	ac-ca-blais	VER	95	20	2.45	1.65	accabler	1
accablait	akablE	accabler	VER			5.55	21.28	0.22	3.11	ind:imp:3s;	1	4	0	9	6	VCCVCCVVC	VCVCCV	2	4	0	0	a-ka-blE	3	V-CV-CCV	tialbacca	Elbaka	ac-ca-blait	VER	95	20	2.2	1.65	accabler	1
accablant	akabl@	accablant	ADJ	m	s	1.41	5.41	0.37	1.42		2	3	1	9	6	VCCVCCVCC	VCVCCV	2	4	7	6	a-ka-bl@	3	V-CV-CCV	tnalbacca	@lbaka	ac-ca-blant	ADJ,VER	100	19	2.15	1.7	accablant	1
accablant	akabl@	accabler	VER			5.55	21.28	0.05	0.74	par:pre;	2	3	0	9	6	VCCVCCVCC	VCVCCV	2	4	7	6	a-ka-bl@	3	V-CV-CCV	tnalbacca	@lbaka	ac-ca-blant	ADJ,VER	95	20	2.15	1.7	accabler	1
accablante	akabl@t	accablant	ADJ	f	s	1.41	5.41	0.71	2.43		1	2	0	10	7	VCCVCCVCCV	VCVCCVC	1	0	0	0	a-ka-bl@t	3	V-CV-CCVC	etnalbacca	t@lbaka	ac-ca-blan-te	ADJ	100	19	2.8	2.6	accablant	1
accablantes	akabl@t	accablant	ADJ	f	p	1.41	5.41	0.29	0.81		1	2	0	11	7	VCCVCCVCCVC	VCVCCVC	0	0	0	0	a-ka-bl@t	3	V-CV-CCVC	setnalbacca	t@lbaka	ac-ca-blan-tes	ADJ	100	19	3.4	2.6	accablant	1
accablants	akabl@	accablant	ADJ	m	p	1.41	5.41	0.04	0.74		1	3	0	10	6	VCCVCCVCCC	VCVCCV	1	4	0	6	a-ka-bl@	3	V-CV-CCV	stnalbacca	@lbaka	ac-ca-blants	ADJ	100	19	2.65	1.7	accablant	1
accable	akabl	accabler	VER			5.55	21.28	2.01	1.96	imp:pre:2s;ind:pre:1s;ind:pre:3s;	1	2	0	7	5	VCCVCCV	VCVCC	2	4	0	0	a-kabl	2	V-CVCC	elbacca	lbaka	ac-ca-ble	VER	95	20	1.8	1.55	accabler	1
accablement	akabl°m@	accablement	NOM	m	s	0.23	3.72	0.21	3.58		1	2	1	11	8	VCCVCCVCVCC	VCVCCVCV	0	1	8	6	a-ka-bl°-m@	4	V-CV-CCV-CV	tnemelbacca	@m°lbaka	ac-ca-ble-ment	NOM	81	16	2.6	2.3	accabler-ment	2
accablements	akabl°m@	accablement	NOM	m	p	0.23	3.72	0.01	0.14		1	2	0	12	8	VCCVCCVCVCCC	VCVCCVCV	0	1	0	6	a-ka-bl°-m@	4	V-CV-CCV-CV	stnemelbacca	@m°lbaka	ac-ca-ble-ments	NOM	81	16	3.3	2.3	accabler-ment	2
accablent	akabl	accabler	VER			5.55	21.28	0.28	0.74	ind:pre:3p;	1	2	0	9	5	VCCVCCVCC	VCVCC	1	4	0	0	a-kabl	2	V-CVCC	tnelbacca	lbaka	ac-ca-blent	VER	95	20	2.25	1.55	accabler	1
accabler	akable	accabler	VER			5.55	21.28	0.65	3.58	inf;	1	10	1	8	6	VCCVCCVC	VCVCCV	1	4	8	6	a-ka-ble	3	V-CV-CCV	relbacca	elbaka	ac-ca-bler	VER	95	20	2.15	1.7	accabler	1
accableraient	akabl°RE	accabler	VER			5.55	21.28	0.00	0.14	cnd:pre:3p;	1	1	0	13	8	VCCVCCVCVVVCC	VCVCCVCV	0	0	0	0	a-ka-bl°-RE	4	V-CV-CCV-CV	tneiarelbacca	ER°lbaka	ac-ca-ble-raient	VER	95	20	3.25	2.4	accabler	1
