8
0.6 0.4 0.8 1 0.2 0.2 0.5 0.7
147 sawtooth
-12 0.20555555555555555 0.5173889485380434
89 sawtooth
1 2.1277777777777778 0
-12 0.5333333333333333 0.5
1 0.26666666666666666 0
-10 0.6222222222222222 0.5124674733385227
1 0.7833333333333333 0
-14 0.5166666666666667 0.5247403959254523
1 0.25 0
-12 0.5222222222222223 0.5366272529086048
1 0.8222222222222222 0
-12 0.4722222222222222 0.5479425538604203
1 0.25555555555555554 0
-10 0.55 0.5585097272940462
1 0.25 0
-14 0.4166666666666667 0.5681638760023334
1 1.2277777777777779 0
-14 0.2777777777777778 0.5767543502236028
1 0.26666666666666666 0
-17 0.24444444444444444 0.5841470984807897
1 0.28888888888888886 0
-12 0.43333333333333335 0.5902267594099095
1 0.32222222222222224 0
-10 0.5444444444444444 0.5948984619355586
1 0.8166666666666667 0
-14 0.3 0.5980893057023156
1 0.11666666666666667 0
-17 0.17222222222222222 0.5997494986604055
1 0.19444444444444445 0
-12 0.42777777777777776 0.5998531340539832
1 0.9388888888888889 0
-12 0.32222222222222224 0.5983985946873938
1 0.4222222222222222 0
-10 0.4777777777777778 0.5954085781609694
1 0.32222222222222224 0
-14 0.31666666666666665 0.5909297426825681
